id;word
1;a
2;able
3;across
4;after
5;all
6;almost
7;also
8;am
9;among
10;an
11;and
12;any
13;are
14;as
15;at
16;be
17;because
18;been
19;but
20;by
21;can
22;cannot
23;could
24;dear
25;did
26;do
27;does
28;either
29;else
30;ever
31;every
32;for
33;from
34;get
35;got
36;had
37;has
38;have
39;he
40;her
41;hers
42;him
43;his
44;how
45;however
46;i
47;if
48;in
49;into
50;is
51;it
52;its
53;just
54;least
55;let
56;like
57;likely
58;may
59;me
60;might
61;most
62;must
63;my
64;neighbor
65;no
66;nor
67;not
68;of
69;off
70;often
71;on
72;only
73;or
74;other
75;our
76;own
77;rather
78;said
79;say
80;says
81;she
82;should
83;since
84;so
85;some
86;than
87;that
88;the
89;their
90;them
91;then
92;there
93;these
94;they
95;this
96;tis
97;to
98;too
99;twas
100;us
101;wants
102;was
103;we
104;were
105;what
106;when
107;where
108;what
109;when
110;were
111;which
112;while
113;who
114;whom
115;why
116;will
117;with
118;would
119;yet
120;you
121;your
122;very
